"division","state","years","sex","measure","participants"
"New South Wales","Grayndler","20-24","male","Participation rate (%)",81.2
"New South Wales","Greenway","20-24","male","Total participants",3163
"New South Wales","Greenway","20-24","male","Eligible participants",4518
"New South Wales","Greenway","20-24","male","Participation rate (%)",70
"New South Wales","Hughes","20-24","male","Total participants",3373
"New South Wales","Hughes","20-24","male","Eligible participants",4400
"New South Wales","Hughes","20-24","male","Participation rate (%)",76.7
"New South Wales","Hume","20-24","male","Total participants",3075
"New South Wales","Hume","20-24","male","Eligible participants",4539
"New South Wales","Hume","20-24","male","Participation rate (%)",67.7
"New South Wales","Hunter","20-24","male","Total participants",3119
"New South Wales","Hunter","20-24","male","Eligible participants",4795
"New South Wales","Hunter","20-24","male","Participation rate (%)",65
"New South Wales","Kingsford Smith","20-24","male","Total participants",3148
"New South Wales","Kingsford Smith","20-24","male","Eligible participants",4286
"New South Wales","Kingsford Smith","20-24","male","Participation rate (%)",73.4
"New South Wales","Lindsay","20-24","male","Total participants",3618
"New South Wales","Lindsay","20-24","male","Eligible participants",5398
"New South Wales","Lindsay","20-24","male","Participation rate (%)",67
"New South Wales","Lyne","20-24","male","Total participants",2018
"New South Wales","Lyne","20-24","male","Eligible participants",3185
"New South Wales","Lyne","20-24","male","Participation rate (%)",63.4
"New South Wales","Macarthur","20-24","male","Total participants",3522
"New South Wales","Macarthur","20-24","male","Eligible participants",5394
"New South Wales","Macarthur","20-24","male","Participation rate (%)",65.3
"New South Wales","Mackellar","20-24","male","Total participants",3179
"New South Wales","Mackellar","20-24","male","Eligible participants",4102
"New South Wales","Mackellar","20-24","male","Participation rate (%)",77.5
"New South Wales","Macquarie","20-24","male","Total participants",3100
"New South Wales","Macquarie","20-24","male","Eligible participants",4306
"New South Wales","Macquarie","20-24","male","Participation rate (%)",72
"New South Wales","McMahon","20-24","male","Total participants",3555
"New South Wales","McMahon","20-24","male","Eligible participants",4953
"New South Wales","McMahon","20-24","male","Participation rate (%)",71.8
"New South Wales","Mitchell","20-24","male","Total participants",3471
"New South Wales","Mitchell","20-24","male","Eligible participants",4619
"New South Wales","Mitchell","20-24","male","Participation rate (%)",75.1
"New South Wales","Newcastle","20-24","male","Total participants",4183
"New South Wales","Newcastle","20-24","male","Eligible participants",5789
"New South Wales","Newcastle","20-24","male","Participation rate (%)",72.3
"New South Wales","New England","20-24","male","Total participants",2486
"New South Wales","New England","20-24","male","Eligible participants",4210
"New South Wales","New England","20-24","male","Participation rate (%)",59
"New South Wales","North Sydney","20-24","male","Total participants",2729
"New South Wales","North Sydney","20-24","male","Eligible participants",3473
"New South Wales","North Sydney","20-24","male","Participation rate (%)",78.6
"New South Wales","Page","20-24","male","Total participants",2357
"New South Wales","Page","20-24","male","Eligible participants",3872
"New South Wales","Page","20-24","male","Participation rate (%)",60.9
"New South Wales","Parkes","20-24","male","Total participants",2385
"New South Wales","Parkes","20-24","male","Eligible participants",4298
"New South Wales","Parkes","20-24","male","Participation rate (%)",55.5
"New South Wales","Parramatta","20-24","male","Total participants",2912
"New South Wales","Parramatta","20-24","male","Eligible participants",4101
"New South Wales","Parramatta","20-24","male","Participation rate (%)",71
"New South Wales","Paterson","20-24","male","Total participants",3026
"New South Wales","Paterson","20-24","male","Eligible participants",4568
"New South Wales","Paterson","20-24","male","Participation rate (%)",66.2
"New South Wales","Reid","20-24","male","Total participants",2782
"New South Wales","Reid","20-24","male","Eligible participants",3972
"New South Wales","Reid","20-24","male","Participation rate (%)",70
"New South Wales","Richmond","20-24","male","Total participants",2125
"New South Wales","Richmond","20-24","male","Eligible participants",3184
"New South Wales","Richmond","20-24","male","Participation rate (%)",66.7
"New South Wales","Riverina","20-24","male","Total participants",2764
"New South Wales","Riverina","20-24","male","Eligible participants",4569
"New South Wales","Riverina","20-24","male","Participation rate (%)",60.5
"New South Wales","Robertson","20-24","male","Total participants",2945
"New South Wales","Robertson","20-24","male","Eligible participants",4162
"New South Wales","Robertson","20-24","male","Participation rate (%)",70.8
"New South Wales","Shortland","20-24","male","Total participants",3228
"New South Wales","Shortland","20-24","male","Eligible participants",4418
"New South Wales","Shortland","20-24","male","Participation rate (%)",73.1
"New South Wales","Sydney","20-24","male","Total participants",2624
"New South Wales","Sydney","20-24","male","Eligible participants",3532
"New South Wales","Sydney","20-24","male","Participation rate (%)",74.3
"New South Wales","Warringah","20-24","male","Total participants",2681
"New South Wales","Warringah","20-24","male","Eligible participants",3382
"New South Wales","Warringah","20-24","male","Participation rate (%)",79.3
"New South Wales","Watson","20-24","male","Total participants",3420
"New South Wales","Watson","20-24","male","Eligible participants",4728
"New South Wales","Watson","20-24","male","Participation rate (%)",72.3
"New South Wales","Wentworth","20-24","male","Total participants",2285
"New South Wales","Wentworth","20-24","male","Eligible participants",2927
"New South Wales","Wentworth","20-24","male","Participation rate (%)",78.1
"New South Wales","Werriwa","20-24","male","Total participants",3970
"New South Wales","Werriwa","20-24","male","Eligible participants",5758
"New South Wales","Werriwa","20-24","male","Participation rate (%)",68.9
"New South Wales","Whitlam","20-24","male","Total participants",3148
"New South Wales","Whitlam","20-24","male","Eligible participants",4552
"New South Wales","Whitlam","20-24","male","Participation rate (%)",69.2
"Victoria","Aston","20-24","male","Total participants",3225
"Victoria","Aston","20-24","male","Eligible participants",4405
"Victoria","Aston","20-24","male","Participation rate (%)",73.2
"Victoria","Ballarat","20-24","male","Total participants",3198
"Victoria","Ballarat","20-24","male","Eligible participants",4720
"Victoria","Ballarat","20-24","male","Participation rate (%)",67.8
"Victoria","Batman","20-24","male","Total participants",3125
"Victoria","Batman","20-24","male","Eligible participants",3982
"Victoria","Batman","20-24","male","Participation rate (%)",78.5
"Victoria","Bendigo","20-24","male","Total participants",2946
"Victoria","Bendigo","20-24","male","Eligible participants",4278
"Victoria","Bendigo","20-24","male","Participation rate (%)",68.9
"Victoria","Bruce","20-24","male","Total participants",2842
"Victoria","Bruce","20-24","male","Eligible participants",4037
"Victoria","Bruce","20-24","male","Participation rate (%)",70.4
"Victoria","Calwell","20-24","male","Total participants",4081
"Victoria","Calwell","20-24","male","Eligible participants",5515
"Victoria","Calwell","20-24","male","Participation rate (%)",74
"Victoria","Casey","20-24","male","Total participants",3273
"Victoria","Casey","20-24","male","Eligible participants",4298
"Victoria","Casey","20-24","male","Participation rate (%)",76.2
"Victoria","Chisholm","20-24","male","Total participants",3242
"Victoria","Chisholm","20-24","male","Eligible participants",4232
"Victoria","Chisholm","20-24","male","Participation rate (%)",76.6
"Victoria","Corangamite","20-24","male","Total participants",3246
"Victoria","Corangamite","20-24","male","Eligible participants",4338
"Victoria","Corangamite","20-24","male","Participation rate (%)",74.8
"Victoria","Corio","20-24","male","Total participants",3208
"Victoria","Corio","20-24","male","Eligible participants",4387
"Victoria","Corio","20-24","male","Participation rate (%)",73.1
"Victoria","Deakin","20-24","male","Total participants",2959
"Victoria","Deakin","20-24","male","Eligible participants",3775
"Victoria","Deakin","20-24","male","Participation rate (%)",78.4
"Victoria","Dunkley","20-24","male","Total participants",2860
"Victoria","Dunkley","20-24","male","Eligible participants",3973
"Victoria","Dunkley","20-24","male","Participation rate (%)",72
"Victoria","Flinders","20-24","male","Total participants",2761
"Victoria","Flinders","20-24","male","Eligible participants",3938
"Victoria","Flinders","20-24","male","Participation rate (%)",70.1
"Victoria","Gellibrand","20-24","male","Total participants",3054
"Victoria","Gellibrand","20-24","male","Eligible participants",3988
"Victoria","Gellibrand","20-24","male","Participation rate (%)",76.6
"Victoria","Gippsland","20-24","male","Total participants",2399
"Victoria","Gippsland","20-24","male","Eligible participants",3791
"Victoria","Gippsland","20-24","male","Participation rate (%)",63.3
"Victoria","Goldstein","20-24","male","Total participants",3300
"Victoria","Goldstein","20-24","male","Eligible participants",4019
"Victoria","Goldstein","20-24","male","Participation rate (%)",82.1
"Victoria","Gorton","20-24","male","Total participants",3683
"Victoria","Gorton","20-24","male","Eligible participants",5286
"Victoria","Gorton","20-24","male","Participation rate (%)",69.7
"Victoria","Higgins","20-24","male","Total participants",3268
"Victoria","Higgins","20-24","male","Eligible participants",4033
"Victoria","Higgins","20-24","male","Participation rate (%)",81
"Victoria","Holt","20-24","male","Total participants",4121
"Victoria","Holt","20-24","male","Eligible participants",5788
"Victoria","Holt","20-24","male","Participation rate (%)",71.2
"Victoria","Hotham","20-24","male","Total participants",2953
"Victoria","Hotham","20-24","male","Eligible participants",3926
"Victoria","Hotham","20-24","male","Participation rate (%)",75.2
"Victoria","Indi","20-24","male","Total participants",2443
"Victoria","Indi","20-24","male","Eligible participants",3644
